Input,Category
"डलरको भाउ हालसम्मकै उच्च, किन बढिरहेको छ भाउ ? ",business
१२ वर्षमा २८ हजार मेगावाट बिजुली उत्पादनको लक्ष्य,business
भूतप्रभावी करविरुद्ध १६ बैंक अदालतमा,business
तेस्रो देशका पर्यटकलाई भारतको ‘अघोषित नाकाबन्दी’,business
साउन र भदौमा सरकारले उठायो कुल १ खर्ब ४१ अर्ब राजस्व,business
अर्थसचिव ४/४ महिनामा सरुवा‚ पुष्कर पुनः अर्थमाऋषिराम पौड्यालअर्थ मन्त्रालयको अर्थसचिवमा कृष्णहरि पुष्करलाई सरुवा गरिएको छ । शुक्रबारको मन्त्रिपरिषद् बैठकले अर्थसचिव अर्जुन पोखरेललाई हटाएर पुष्करलाई पठाउने निर्णय गरेको हो । अर्थसचिव पोखरेललाई प्रधानमन्त्री तथा मन्त्रिपरिषद् कार्यालयमा सरुवा गरिएको छ ।   संग्रह  सेयर,business
"बढ्यो सेयर बजार, कारोबार ८७ करोडमा सीमित कान्तिपुर संवाददातासोमबार अन्ततः सेयर बजार सम्हालिएको छ । ब्याजदर वृद्धिका कारण आइतबार ४२ अंक घटेको सेयर बजार सोमबार भने ४ अंक बढ्यो । सो अंकको वृद्धिपछि नेप्से १९६९ अंकमा कायम भएको छ ।  संग्रह  सेयर",business
सरकारले शून्य ब्याजदरको ६३ अर्ब निक्षेप दिँदा पनि बैंकले बढाए ब्याजकान्तिपुर संवाददाताअसोजका लागि आठ वटा वाणिज्य बैंकले बचत र मुद्दती निक्षेपको ब्याज सामान्य दरले बढाएका छन् । बाँकी १२ मध्ये आठ वटाले निक्षेपको ब्याजदर घटाएका छन् । चार वटा बैंकले कुनै परिवर्तन गरेका छैनन् । ब्याज घटाउने सर्तस्वरूप अर्थ मन्त्रालयले स्थानीय तहको खातामा रहेको रकममध्ये ६० प्रतिशत वाणिज्य बैंकहरूले निक्षेपका रूपमा गणना गर्ने सुविधा दिए पनि असोजमा झन्डै आधा बैंकले निक्षेपको ब्याज बढाएका हुन् ।  संग्रह  सेयर,business
"कर्णाली सरकारको विकास : तीन वर्षमा ७८ किमि मात्र सडक कालोपत्रतृप्ति शाहीकर्णालीमा ३ वर्षमा ७८.९५ किलोमिटर सडक मात्र कालोपत्र भएको छ । कर्णालीमा मुगु, हुम्ला र डोल्पामा सडक नै कालोपत्र गरिएको छैन भने हुम्ला सदरमुकाम सिमकोट अहिलेसम्म राष्ट्रिय सडक सञ्जालमा जोडिएको छैन ।  संग्रह  सेयर",business
विद्युत् विधेयकले आयोजनामा निजी क्षेत्रको ढोका बन्द गर्‍यो : इप्पानकान्तिपुर संवाददातासरकारले जलविद्युत् आयोजनामा निजी क्षेत्रलाई पाखा लगाउने काम गरेको भन्दै निजी क्षेत्रले आपत्ति जनाएको छ । संघीय संसद्मा दर्ता भएको ‘विद्युत् विधेयक–०८०’ मा १२ बुँदे असहमति राख्दै निजी क्षेत्रले विधेयक पास भए यसले जलविद्युत् क्षेत्रबाट पलायनको अवस्था आउने जनाएको छ ।  संग्रह  सेयर,business
७६ हजारले अवलोकन गर्दै सकियो नाडा अटो सोकान्तिपुर संवाददाताचार वर्षपछि आयोजना गरिएको १५ औं संस्करणको नाडा अटो सो सकिएको छ । भदौ २६ मा सुरु भएर ३१ मा सकिएको अटो सो ७६ हजार १ सय जनाले अवलोकन गरेको आयोजक नाडा अटोमोबाइल्स एसोसिएसन अफ नेपालले जनाएको छ । अटो सोमा दुई र चारपांग्रे दुवै किसिमका सवारीमा दर्शकको आकर्षण उत्तिकै रहेको नाडाको भनाइ छ ।  संग्रह  सेयर,business
"बक्सिङमा बक्समाण्डु र अल्फा टिम च्याम्पियनकान्तिपुर संवाददाता प्रथम युथ तथा जुनियर बक्सिङमा बक्समाण्डु बक्सिङ क्लब र अल्फा बक्सिङ क्लब टिम च्याम्पियन भएका छन्  । युथ पुरुषतर्फ ४ स्वर्ण, १ कांस्य गरी ५ पदक जित्दै बक्समाण्डु बक्सिङ क्लब च्याम्पियन बनेको हो ।  संग्रह  सेयर",sports
ओलम्पियन्स फोरममा नेपालको प्रशंसाकान्तिपुर संवाददातानेपाल ओलम्पियन्स संघले नेपालका विभिन्न ठाउँमा सञ्चालन गरेको स्कुल टु ओलम्पिक कार्यक्रमले तेस्रो वर्ल्ड ओलम्पियन्स फोरममा प्रशंसा पाएको छ ।  संग्रह  सेयर,sports
चिल्ड्रेन लाइफलाई उपाधिप्रकाश बरालजिल्ला फुटबल संघ बागलुङले आयोजना गरेको विद्यालयस्तरीय खुला फुटबलको उपाधि चिल्ड्रेन लाइफ आवासीय माविले जितेको छ ।   संग्रह  सेयर,sports
म्यानमारका दुई खेल र विश्वकप छनोटराजु घिसिङनेपाली राष्ट्रिय फुटबल टिम विश्वकप २०२६ छनोटको अन्तिम तयारीमा म्यानमारविरुद्ध दुई मैत्रीपूर्ण खेल खेलेर स्वदेश फर्किसकेको छ । यांगुनस्थित थुवुना रंगशालामा फिफा वरीयतामा १५ स्थानमाथिको टिमविरुद्ध पहिलो खेल गोलरहित टुंग्याएको नेपालले ८६ औं मिनेटमा भएको विवादास्पद गोलसँगै दोस्रो खेल १–० ले हारेको थियो ।  संग्रह  सेयर,sports
